"データ区分","注番","枝番","工番","分番","アイテムコード","製造担当","発注先","作業担当者","実績区分","補助実績区分","計画対応実績数量","在庫対応実績数量","入力日","着手日","着手時刻","完了日","完了時刻","実段取時間","実績時間","合計時間","割振り","消費税額","加工費レート","通貨レート","ロット名","備考","システム備考","会計フラッグ","実購入単価","購入金額","作業コード","リビジョン","注文コード","入庫場所","みなし在庫","製番引当て合計","使用済み数","仮使用数","廃棄","不良数","製番管理区分","親履歴管理区分","子履歴管理区分","書出済み","使用期限日","支払番号","費目","現品票発行日","税分類","赤伝元分番","訂正日","訂正ユーザー","<LINE_NO>","<SEIZOORDER>","<BUMONCODE>","TID","入り数","発注単位","<OLDSHIKYU>","<HASEIKBN>","<HINMEI>","<HJOB_NO>","<CHOKUJYOUOYA>","<KURIKOSHIFLAG>"
"DKUBU","PORDER","PEDA","KBAN","BUN","CODE","BUMO","VENDOR","WMAN","AKUBU","AKUBU2","JITU","JITU0","IDATE","BDATE","BTIME","FDATE","FTIME","ADTIME","ATIME","VMTIME","SETTACT","TAX","RATE","CRATE","LOTNAME","NOTE","SYSNOTE","KEIRI","APRICE","KOUNYUUGAKU","WCODE","REV","VCODE","HOKAN","MINASIZAIK","HVOL","TUVOL","KARIUVOL","HAIKI","FURYOUVOL","DOSEIBAN","DORIREKIOYA","DORIREKIKO","WATRN","GDATE","PAYORDER","HIMOKU","GDDATE","TAXBUNR","MOTOBUN","INPUTDATE","INPUTUSER","LINE_NO","SEIZOORDER","BUMONCODE","TID","PCAPA","TANI3","OLDSHIKYU","HASEIKBN","HINMEI","HJOB_NO","CHOKUJYOUOYA","KURIKOSHIFLAG"
,"DD0000000000002913",0,0,1,"31808594102","1000100","685","","J","",6.000,6.000,"202602171","","","202602171","13:18",0.000,0.000,0.000,0,0,1,1.00,"20260217","","",0,0.00,0,"NONE","","31808594102","01-1",0.000,0.000,6.000,0.000,0.000,0.000,0,1,1,0,"","",10,"","10",0,260218082505,"HT10",0,"","4310",253025,0.000,"",0,1,"AIP-8E UNIT",0,"",0
,"DD0000000000002913",1,0,1,"31808594102","1000100","1000100","","J","",6.000,6.000,"202604131","","","202604101","14:06",0.000,0.000,0.000,0,186264,1,1.00,"20260410","","",0,310440.00,1862640,"NONE","","31808594102","01-1",0.000,0.000,0.000,0.000,0.000,0.000,0,1,1,0,"","",10,"","10",0,260413141122,"1463",0,"","4310",253025,0.000,"",0,1,"AIP-8E UNIT",0,"",0
