DKUBU,TID,CODE,VCODE,VENDOR,WCODE,MAKERNAME,TDATE,EDATE,TVOL,TEMA,SPRICE,PRICE,TAXRATE,TAXKUBU,SOUKINGAKU,SOUSUUIN,APRICE,HOKAN,NOTE,SYSNOTE,INPUTDATE,INPUTUSER,KARIKBN,MITSUMORINO,PCAPA,TANI3,IKOUFLAG
New,,PA10921,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,72.00 ,72.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10923,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,68.00 ,68.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10946,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,121.00 ,121.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10946,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,81.00 ,81.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10947,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,142.00 ,142.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10947,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,43.00 ,43.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10948,,1000128,,東北物流株式会社,2026/6/1,99/99/99,30.00,,273.00 ,273.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10948,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,59.00 ,59.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10964,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,37.00 ,37.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10964,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,37.00 ,37.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10973,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,54.00 ,54.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10974,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,46.00 ,46.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11000,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,895.00 ,895.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11000,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,294.00 ,294.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11001,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,54.00 ,54.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11001,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,36.00 ,36.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11002,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,241.00 ,241.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11002,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,18.00 ,18.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11003,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,197.00 ,197.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11003,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,38.00 ,38.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11027,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,132.00 ,132.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11028,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,38.00 ,38.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11029,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,12.00 ,12.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11030,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,21.00 ,21.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11053,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,32.00 ,32.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11135,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,263.00 ,263.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11151,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,199.00 ,199.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11152,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,23.00 ,23.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11153,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,88.00 ,88.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11156,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,98.00 ,98.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11159,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,32.00 ,32.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11161,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,34.00 ,34.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11162,,1000128,,東北物流株式会社,2026/6/1,99/99/99,600.00,,164.00 ,164.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11163,,1000128,,東北物流株式会社,2026/6/1,99/99/99,600.00,,192.00 ,192.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11240,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,193.00 ,193.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11241,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,90.00 ,90.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11242,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,349.00 ,349.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11258,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,124.00 ,124.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11283,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,265.00 ,265.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11284,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,174.00 ,174.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11289,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,251.00 ,251.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11304,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,19.00 ,19.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11309,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,455.00 ,455.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11310,,1000128,,東北物流株式会社,2026/6/1,99/99/99,40.00,,"1,404.00 ","1,404.00 ",,,,,,,,,,,,2026062401,,,
New,,PA11322,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,203.00 ,203.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11323,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,169.00 ,169.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11324,,1000128,,東北物流株式会社,2026/6/1,99/99/99,20.00,,194.00 ,194.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11324,,1000128,,東北物流株式会社,2026/6/1,99/99/99,200.00,,53.00 ,53.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11375,,1000128,,東北物流株式会社,2026/6/1,99/99/99,20.00,,866.00 ,866.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11376,,1000128,,東北物流株式会社,2026/6/1,99/99/99,20.00,,"1,313.00 ","1,313.00 ",,,,,,,,,,,,2026062401,,,
New,,PA11393,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,39.00 ,39.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11394,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,14.00 ,14.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11408,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,152.00 ,152.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11417,,1000128,,東北物流株式会社,2026/6/1,99/99/99,300.00,,152.00 ,152.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11418,,1000128,,東北物流株式会社,2026/6/1,99/99/99,300.00,,60.00 ,60.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11419,,1000128,,東北物流株式会社,2026/6/1,99/99/99,300.00,,24.00 ,24.00 ,,,,,,,,,,,,2026062401,,,
